콘텐츠명,노키즈존,예약가능여부,룸보유여부,유아서비스기타,평일오픈시간,평일클로즈시간,주말오픈시간,주말클로즈시간,휴식시작시간,휴식종료시간,대표메뉴기타
청춘다락,,,,,12:00,18:00,12:00,18:00,,,
신제주보말칼국수,,,,,08:00,15:00,08:00,15:00,,,"보말칼국수 11,000원"
몽상드애월(몽상),,,,,11:00,19:30,11:00,19:30,,,
88버거,,,,,10:00,21:00,10:00,21:00,,,"88버거, 아메리칸치즈버거, 크림소스버거, 어니언칠리버거"
포도원흑돼지,,y,,,11:00,22:00,11:00,22:00,,,
사방팔방,,,,,16:30,22:00,16:30,22:00,,,
망고레이,,,,,,,,,,,
신동성식당,,,,,10:00,21:00,10:00,21:00,,,
파리바게트 성산일출봉점,,,,,07:00,23:00,07:00,23:00,,,
과수원집,,,,,11:30,21:00,11:30,21:00,,,
임제,y,y,,,12:00,22:30,12:00,22:30,,,
우뭇개일번지,,,,,06:00,17:00,06:00,17:00,,,
비자림부엉이,,,,,10:00,00:00,10:00,00:00,,,
돔베돈 공항점,,,,,11:30,23:00,11:30,23:00,,,
미르담,y,n,n,,10:00,21:00,10:00,21:00,,,
이재모피자,,,,,10:00,21:00,10:00,21:00,,,이재모크러스트피자 s 26000원
운정이네,,,,,08:00,22:00,08:00,22:00,,,
신설오름,,,,,08:00,04:00,08:00,04:00,,,
청정제주밥집&카페,,,,,07:00,21:00,07:00,21:00,,,
독도참치,,,,,18:00,23:00,18:00,23:00,,,
조마루뼈다귀서귀포점,,,,,10:00,00:00,10:00,00:00,,,
제주도푸른밥,,,,,11:00,20:00,11:00,20:00,,,
몽생이,,,,,06:00,15:00,06:00,15:00,,,
바당꺼몬딱,,,,,09:00,20:00,09:00,20:00,,,
듀포레,,,,,10:00,21:00,10:00,21:00,,,
달콤한휴식,,,,,11:00,15:30,11:00,15:30,,,
낙화곡주(구.우도주막),,,,,09:00,20:00,09:00,20:00,,,
파리바게트 도남점,,,,,07:00,00:00,07:00,00:00,,,
솔트스톤브이점,y,y,,,13:00,23:00,13:00,23:00,,,"솔트티라미슈라떼, 솔트슈페너, 솔트크림라떼, 석스톤라떼"
성산맛집 성환이네 닭칼국수,,,,,09:00,20:30,09:00,20:30,,,
꽃까스,n,n,n,,12:00,19:00,12:00,19:00,,,경양식돈까스
탐라가든,y,y,,,12:00,21:40,12:00,21:40,,,
짬뽕에취한날,,,,,10:30,14:30,10:30,14:30,,,
성산포뚝배기,,,,,08:00,22:00,08:00,22:00,,,
쌍둥이횟집본점,,,,,11:00,22:00,11:00,22:00,,,
돈풍년,,,,,11:00,22:00,11:00,22:00,,,
알라스카인제주 용담점,,,,,,,,,,,
마라도해녀촌짜장,,,,,,,,,,,
어우늘,,,,,11:00,15:00,11:00,15:00,,,
황금손가락,,,,,11:30,22:00,11:30,22:00,,,
심봉사눈뜬톳해물짜장짬뽕,,,,,10:00,15:30,10:00,15:30,,,
머들왓,,,,,10:00,19:00,10:00,19:00,,,
단소,y,y,,,10:30,15:00,10:30,15:00,,,
진고개가든,,,,,,,,,,,
탐라흑돼지,,,,,11:00,22:00,11:00,22:00,,,
해운대가든,,,,,10:00,22:00,10:00,22:00,,,
추자본섬,,y,,,15:00,22:00,15:00,22:00,,,"고등어회,삼치회"
제주정,,,,,08:30,20:30,08:30,20:30,,,
수월봉 가마솥순대국,,,,,08:00,20:00,08:00,20:00,,,
돌집식당,,,,,10:00,21:00,10:00,21:00,,,
예지원,,,,,08:00,21:00,08:00,21:00,,,
한라식당,,,,,09:00,19:00,09:00,19:00,,,
양촌리마을,,,,,10:30,20:30,10:30,20:30,,,
카페마니,,,,,10:00,17:00,10:00,17:00,,,
수철이네 왕새우튀김 제주성산점,,,,,10:30,20:00,10:30,20:00,,,
산토샤,,y,,,11:00,17:00,11:00,17:00,,, 깻순 둥지 파스타 등
삼무국수,,,,,08:00,23:00,08:00,23:00,,,
오드랑 베이커리앤카페 신촌점,y,n,,,08:00,22:00,08:00,22:00,,,
목민,,y,,,17:00,22:00,17:00,22:00,,,
틴크레스트,,,,수유실,10:00,17:00,10:00,17:00,,, 스프레드 세트 등
색달식당,,,,,10:00,21:00,10:00,21:00,,,
아일랜드조르바,,,,,11:00,18:00,11:00,18:00,,,
금강민물장어,,,,,10:00,22:00,10:00,22:00,,,
바다목장 횟집,,,,,10:00,22:00,10:00,22:00,,,
ㄷㄷ,,,,,00:00,00:00,00:00,00:00,,,
제주바다바다,,,,,11:00,22:00,11:00,22:00,,,
제주광어직판장,,,,,11:00,22:00,11:00,22:00,,,
중화요리 사해방,,,,,10:00,20:30,10:00,20:30,,,
우무(umu),,,,,09:00,20:00,09:00,20:00,,,푸딩
벨로인카페,,,,,10:00,00:00,10:00,13:00,,,
명랑스낵,y,n,,,11:30,19:00,11:30,19:00,,,"떡볶이, 짜장떡볶이"
레이지박스,,,,,09:30,19:00,09:30,19:00,,,
델문도,,,,,06:00,00:00,06:00,00:00,,,
이돈갓시청점,,,,,11:00,21:00,11:00,21:00,,,
알라스카인제주,,,,,12:00,21:00,12:00,21:00,,,
베케 [유형 오기입],y,,,,09:30,17:30,09:30,17:30,,,"성인 12,000원"
예소담,,,,,07:00,22:00,07:00,20:00,,,
연우네,,,,,11:00,15:20,11:00,15:20,,,
노을언덕,,,,,09:00,23:00,09:00,23:00,,,
에너벨리,,,,,08:00,22:00,08:00,22:00,,,
오끼416갤러리,,,,,10:00,19:30,10:00,19:30,,,
수정+_____@22,,,,,,,,,,,
성산마씸,y,y,,,10:00,20:30,10:00,20:30,,,"마씸정식, 옥돔구이, 갈치조림, 흑돼지 돔베고기"
신산리마을카페,,,,,10:00,18:00,10:00,18:00,,,
전원일기,,,,,11:00,21:00,11:00,21:00,,,
창훈이네,,,,,09:30,19:00,09:30,19:00,,,
착한제주고등어,y,y,,,09:00,20:00,09:00,20:00,,,갈치 조림 정식
카페동백,,,,,10:00,17:00,10:00,17:00,,,
와팡,,,,,10:00,20:00,10:00,20:00,,,
제주진미마돈가,,,,,11:00,21:30,11:00,21:30,,,
천하대장군,,,,,10:00,21:00,10:00,21:00,,,
바람기억,,,,,09:00,00:00,09:00,00:00,,,
알라스카인제주 애월점,,,,,11:00,20:00,11:00,20:00,,,
남해횟집,,,,,17:00,23:00,17:00,23:00,,,
24시 뼈다귀탕 제주점,,,,,00:00,00:00,00:00,00:00,,,
제주반지만들기카페,,,,,10:00,22:00,10:00,22:00,,,
일통이반,,,,,12:00,23:30,12:00,23:30,,,
카카듀,,,,,10:00,22:30,10:00,22:30,,,
육갑봉,,,,,09:00,22:00,09:00,22:00,,,
육값하네식육가든,,,,,16:00,22:00,16:00,22:00,,,
제주슬로비,,,,,11:00,21:00,11:00,21:00,,,
삼수정,,,,,11:00,22:00,11:00,22:00,,,
누바비치,,,,,11:00,01:00,11:00,01:00,,,
서우봉가든,,,,,11:30,00:00,11:30,00:00,,,
에이바우트 스타디움,,,,,07:30,02:00,07:30,02:00,,,아메리카노 3500원 등
생이소리,,,,,07:00,20:00,07:00,20:00,,,
제주맛촌본점,,,,,10:00,21:00,10:00,21:00,,,
바램목장&카페,y,n,,,10:00,17:00,10:00,17:00,,,"한라봉에이드, 청귤차, 베이글"
황금어장(제주시),,,,,09:00,21:00,09:00,21:00,,,
앨리스 카페,,,,,12:00,22:00,12:00,22:00,,,
카페헤밍웨이,,,,,10:00,19:00,10:00,19:00,,,
짜장면시키신분 마라점,,,,,10:40,15:30,10:40,15:30,,,
돈마구이해장국(연동점),,,,,10:00,22:00,08:00,22:00,,,
순옥이네 명가,,,,,09:00,21:00,09:00,21:00,,,
순정문어,,,,,14:00,01:00,14:00,01:00,,,
윤재커피,y,y,,,11:30,18:00,,,,,기름떡
서귀포갈비,,,,,11:00,21:00,11:00,21:00,,,
